5-Dec-2024,UK Google,Brand Core,Limited by Budget,Changed from $2K/day>$2.4K/day based on G recommendation,Yun,,,,,
5-Dec-2024,FR Google,Brand Core,Bid Strategy Limited,Increased max cpc cap from $15>$20,Yun,,,,,
5-Dec-2024,ES Google,Brand Core,Bid Strategy Limited,Increased mac cpc cap from $20>$25,Yun,,,,,
31-Dec-2024,All,All,Budget and modifiers,Increased budget to hit 75% ie%CCP for week 52,Andrew ,Anticipating big drop in clicks and spend in week 52,,,,
2-Jan-2025,All,All,Budget and modifiers,Made adjustments to all regions budgets to hit 65% ie%CCP for January due to lower budget MOM and lower ie%CCP goal,Andrew ,"UK: targeting -$753/day NB 
DE: targeting -$1,466/day NB
FR: targeting -$829/day NB
IT: targeting -$1,183/day NB
ES: targeting -$586/day NB",,,,
6-Jan-2025,ES Google,NB Location Bid Adjustment,MÁLAGA Spain,-20%,Yun,Focus on Negative Bids to improve efficiency,,,,
,,,VIGO Spain,-5%,,,,,,
,,,A CORUÑA Spain,-14%,,,,,,
,,,ELCHE Spain,-19%,,,,,,
,,,CÓRDOBA Spain,-15%,,,,,,
,,,MARBELLA Spain,-20%,,,,,,
,,,VALLADOLID Spain,-4%,,,,,,
,,,PALMA Spain,-23%,,,,,,
,,,GIRONA Spain,-20%,,,,,,
,,,JEREZ DE LA FRONTERA,10%,,,,,,
,,,BARCELONA,10%,,,,,,
,,,MADRID,8%,,,,,,
6-Jan-2025,ES Google,NB Adobe Portfolios,Location Target,Turned off location bid auto target in AMO ,Yun,,,,,
6-Jan-2025,DE Google,All campaign except Brand Core,Tablet bid,Changed from -40%>-60% due to poor performing,Yun,,,,,
6-Jan-2025,UK Google,All campaign except Brand,Tablet bid,Changed from -40%>-60% due to poor performing,Yun,,,,,
8-Jan-2025,FR Google,Brand Core,Budget,Limited by budget soon- Increased budget from $1.2K>$1.5K,Yun,,,,,
8-Jan-2025,FR Google,Brand Core,Bid Strategy,Changed max cpc cap from $100>$30. More aligned with previous bid cap,Yun,,,,,
8-Jan-2025,IT Google,Brand Core,Bid Strategy,Changed max cpc cap from $100>$30 More algined wiht previous bid cap,Yun,,,,,
8-Jan-2025,ES Google,Brand Core,Bid Strategy,Changed max cpc cap from $100>$30 More algined wiht previous bid cap,Yun,,,,,
8-Jan-2025,DE Google,Brand Core,Bid Strategy,Changed max cpc cap from $100>$30 More algined wiht previous bid cap,Yun,,,,,
8-Jan-2025,DE Google,Brand Core,Budget,Campaign limited by budget status. Increased budget from $2.8K>$3.5K,Yun,,,,,
8-Jan-2025,UK Google,Brand Core,Bid Strategy,Changed max cpc cap from $100>$30 More algined wiht previous bid cap,Yun,,,,,
8-Jan-2025,EU5 Google,NB Broad/Phrase Ad Groups,Ad Groups,Paused broad/phrase adgroups with 0 clicks based on all time data,Yun,,,,,
7-Jan-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,"New targets: 
Min 200, Max 800",Andrew,*Original minimum target was too high.,,,,
7-Jan-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,New Target: 400,Andrew,Original target: 500  (Spending 660/day W1),,,,
7-Jan-2025,UK,EU-UK-Google-GA,Budget and modifiers,"New Targets:
Min 100, Max 300",Andrew,"Original targets:
Min 300 Max 500 (spending 570/day W1)",,,,
7-Jan-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,"New Targets:
Min 200, Max 400",Andrew,"Original targets:
Min 550, Max 800 (Spending 974/day W1)",,,,
7-Jan-2025,DE,EU-DE-Google-Brand-Plus,Budget and modifiers,"Target from 250 to 200
Min stays at 3k, Max from 4k to 3.5k",Andrew,"Prevent from spending more than last week with the new max, and bring target down because of lower ieCCP target",,,,
7-Jan-2025,DE,EU-DE-Google-Generic,Budget and modifiers,Target from 3k to 4k,Andrew,Match last week's spend,,,,
7-Jan-2025,DE,EU-DE-Google-AMZ,Budget and modifiers,Target from 1.5k to 1.8k,Andrew,Match last week's spend,,,,
7-Jan-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,Target from 700 to 1k,Andrew,Match last week's spend,,,,
7-Jan-2025,DE,EU-DE-EN-Google-Brand,Budget and modifiers,"Min stays at 1.8k, Max from 4k to 3k",Andrew,Prevent from spending more than last week with the new max,,,,
7-Jan-2025,FR,EU-FR-Google-Brand-Plus,,"Min from 800 to 400, Max from 2.5k to 800",Andrew,Prevent from spending more than +20% last week with the new max,,,,
7-Jan-2025,FR,EU-FR-Google-Generic,Budget and modifiers,Leave at 2k,Andrew,"We don't want this campaign to become too limited (lower CPA segment, with higher reg volume)",,,,
7-Jan-2025,FR,EU-FR-Google-AMZ,,From 300 to 250,Andrew,,,,,
7-Jan-2025,FR,EU-FR-Google-GA_Top,,From 800 to 950,Andrew,,,,,
7-Jan-2025,FR,EU-FR-Google-GA,Budget and modifiers,Target CPT from 100 to 75,Andrew,,,,,
7-Jan-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"New Targets:
Min: 250, Max: 350",Andrew," Original targets:
Min: 450, Max: 750 (Spending 757/day W1)",,,,
7-Jan-2025,IT,EU-IT-Google-Brand-Plus,Budget and modifiers,"Min from 1.5k to 1.2k, Max from 4k to 1.7k",Andrew,,,,,
7-Jan-2025,IT,EU-IT-Google-Generic,Budget and modifiers,New Target 300,Andrew,Original target: 500  (Spending 733/day W1),,,,
7-Jan-2025,IT,EU-IT-Google-AMZ,Budget and modifiers,New Target 2.1k,Andrew,"Original target: 2200  (Spending 2,397/day W1)",,,,
7-Jan-2025,IT,EU-IT-Google-GA_Top,,"Target CPT from 300 to 250
Min and max stay the same",Andrew,,,,,
7-Jan-2025,IT,EU-IT-Google-GA,Budget and modifiers,"New Targets:
Min: 100, Max: 500",Andrew,"Original target: 
Min: 200.00, Max: 900.00  (Spending 200/day W1)",,,,
7-Jan-2025,IT,EU-IT-Google-Product-Vertical,,"Min from 800 to 500, Max from 1.2k to 800",Andrew,,,,,
7-Jan-2025,ES,EU-ES-Google-Generic,Budget and modifiers,New Target 700,Andrew,Original target: 850  (Spending 1050/day W1),,,,
7-Jan-2025,ES,EU-ES-Google-AMZ,Budget and modifiers,New Target 600,Andrew,Original target: 950  (Spending 1000/day W1),,,,
7-Jan-2025,ES,EU-ES-Google-GA_Top,Budget and modifiers,New Target 200,Andrew,Original target: 500  (Spending 385/day W1),,,,
7-Jan-2025,ES,EU-ES-Google-Product-Vertical,Budget and modifiers,"New Targets:
Min: 100, Max: 400",Andrew,"Original targets:
Min: 275.00, Max: 500.00 (Spending 400/day W1)",,,,
14-Jan-2025,IT,Brand Core Google,Budget,"Brand-Core: Amount changed from $3,200.00 to $3,700.00",Yun,Avoid Brand Core Limited by Budget,,,,
15-Jan-2025,DE,All but Bing,Budget and modifiers,Increased targets to aim for +23% overall budget. Mainly Generic/Brand Plus/AMZ,Richard,,,,,
15-Jan-2025,FR,All but Bing,Budget and modifiers,Increased targets slightly to aim for +6% overall budgets,Richard,Also accounting for more efficient performance as we move away from holiday,,,,
15-Jan-2025,IT,All but Bing,Budget and modifiers,Increased targets to aim for +17% overall budget.,Richard,,,,,
14-Jan-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,CPT target from 100 to 90,Andrew,"High CPA, Expected Core increases WoW",,,,
14-Jan-2025,UK,EU-UK-Google-Generic,Budget and modifiers,Increase budget from 800 to 1000,Andrew,,,,,
14-Jan-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,New Target 350,Andrew,,,,,
14-Jan-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,Decrease budget from 1k to 900,Andrew,,,,,
14-Jan-2025,UK,EU-UK-Google-GA,Budget and modifiers,"CPT target from 90 to 120
Decrease Max from 300, to 250",Andrew,,,,,
14-Jan-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,Change max from 400 to 300,Andrew,,,,,
14-Jan-2025,ES,EU-ES-Google-Brand-Plus,Budget and modifiers,Target from 140 to 120,Andrew,Expected Core increases WoW,,,,
14-Jan-2025,ES,EU-ES-Google-Generic,Budget and modifiers,Increase budget from 700 to 1k,Andrew,,,,,
14-Jan-2025,ES,EU-ES-Google-AMZ,Budget and modifiers,Increase budget from 600 to 850,Andrew,,,,,
14-Jan-2025,ES,EU-ES-Google-GA_Top,Budget and modifiers,Increase budget from 250 to 360,Andrew,,,,,
14-Jan-2025,ES,EU-ES-Google-GA,Budget and modifiers,Decrease Max from 350 to 300,Andrew,"High CPA, Not hitting spend target",,,,
14-Jan-2025,ES,EU-ES-Google-Product-Vertical,Budget and modifiers,Decrease Max from 400 to 250,Andrew,High CPA,,,,
17-Jan-2025,DE,Brand Core,Max CPC ,Set max cpc cap from $28>$25,,,,,,
22-Jan-2025,UK,REGION,Budget and modifiers,"Increase UK by $1,253.00/day
",,Increase Ie%CCP to 65%,,,,
22-Jan-2025,UK,EU-UK-Google-Generic,Budget and modifiers,1400 New Target,Andrew,"Target $1,000 (Spent $1050/day W3)",,,,
22-Jan-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,500 New Target,Andrew,"Target $400 (Spent $312/7 days, $450 two weeks ago)",,,,
22-Jan-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,1500 New Target,Andrew,"Target $900 (Spent 1,098/W3)",,,,
22-Jan-2025,UK,EU-UK-Google-GA,Budget and modifiers,Decrease CPT to $100,Andrew,CPT Target 110.00,,,,
22-Jan-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,"Min: $200.00
Max: $600.00 
Increase CPT to $120",Andrew,"Min: $200.00
Max: $300.00 (spending 357 W3)",,,,
22-Jan-2025,ES,REGION,Budget and modifiers,"Increase ES by $2,020.42/day
",,Increase Ie%CCP to 65%,,,,
22-Jan-2025,ES,EU-ES-Google-Brand-Plus,,"Min: $300.00
Max: $700.00",Andrew,"Min: $200.00
Max: $600.00 (Spending 466 past 7 days)",,,,
22-Jan-2025,ES,EU-ES-Google-Generic,,2000 New Target,Andrew,"Target $1300 (Spent 1,300/5 days)",,,,
22-Jan-2025,ES,EU-ES-Google-AMZ,,1300 New Target,Andrew,Target $850 (Spent $850/day W3),,,,
22-Jan-2025,ES,EU-ES-Google-GA_Top,,900 New Target,Andrew,Target $600 (Spent $560/day W3),,,,
,ES,EU-ES-Google-Product-Vertical,,,Andrew,,,,,
,ES,EU-ES-Google-GA,,"Min:300
Max: $600",Andrew,"Min: $180.00
Max: $350.00 (Spending $300 past 5 days)",,,,
,ES,EU-ES-Bing-Brand,,,Andrew,,,,,
24-Jan-2025,DE/FR,All,location modifiers,Added city-level location modifiers to all campaigns (based on CPA),Richard,,,,,
27-Jan-2025,FR,All Portolio,location modifiers,Disabled location auto bid in AMO Google portfolios to just have Google manual city livel bids active,Yun,,,,,
28-Jan-2025,UK ES FR,REGION,Budget and modifiers,"Increase UK and FR by $1,500/day and keep ES falt",Andrew,Projection File - to hit 65% ie%CCP for W5,,,,
28-Jan-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,Increase CPT 120,Andrew,CPT 110 (Spending 315/day) Max 800,,,,
28-Jan-2025,UK,EU-UK-Google-Generic,Budget and modifiers,New Target 2000,Andrew,Current 1600,,,,
28-Jan-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,New Target 800,Andrew,Current 600,,,,
28-Jan-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$2,300",Andrew,Current 1700,,,,
28-Jan-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,Increase CPT 140,Andrew,CPT 110 (Spending 315/day) Max 600,,,,
28-Jan-2025,FR,EU-FR-Google-AMZ,Budget and modifiers,Max 600,Andrew,Max 500 (Spent $491 Yesterday),,,,
28-Jan-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"Max $950 (1/29 = 1050, 1/31 = 1250)",Andrew,Max 650 (Spent $950 Yesterday),,,,
28-Jan-2025,FR,EU-FR-Google-Generic,Budget and modifiers,"Max 4,100 
 CPT to 110 (1/29 4200 and CPT to 120,1/31 Min to 3500 Max 4500)",Andrew,CPT 85.00 (Spending 3.5k last week) 3.5k MAX,,,,
28-Jan-2025,FR,EU-FR-Google-GA_Top,Budget and modifiers,"Max 17000 
 CPT to 120 (1/29 1900) (1/31 = 2100)",Andrew,"CPT 100 (1,142 daily spend last week) 1.2k MAX",,,,
28-Jan-2025,ES,AMZ,Budget and modifiers,New Target 1000,Andrew,$1300 (spent $1150 past week/day),,,,
28-Jan-2025,ES,GA TOP,Budget and modifiers,New Target 800,Andrew,$900 (spent 780 last week/day),,,,
28-Jan-2025,DE,,Budget and modifiers,Targeting ~19% increase in NB spend/day (14k/day),Richard,,,,,
28-Jan-2025,IT,,Budget and modifiers,Targeting ~6% increase in NB spend/day (11.7k/day),Richard,,,,,
29-Jan-2025,UK,NB Google Campaigns,location modifiers,Applied manual bid suggestions from Google and disabled AMO location bid mod,Yun,,,,,
30-Jan-2025,ES,EU-ES-Google-Generic,Budget and modifiers,Changed to 1.5k budget ,Andrew,2k Target (Spent 2.3 past two days),,,,
30-Jan-2025,ES,ES_GA_Generic_AMZ,KW,Added 36 NKWs exact match to campaign level related to selling on AMZ,Andrew,1000% spend increase WoW Business Clients_Broad Ad group,,,,
31-Jan-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,Increase Min and Max 600 an $1100,Andrew,Pre Jan 7th levels (spend down since),,,,
3-Feb-2025,DE,All NB,Budget and modifiers,Targeting +25% spend for the week. (117.5k NB spend target for the week; +3.4k/day),Richard,,,,,
3-Feb-2025,IT,All NB,Budget and modifiers,Targeting -10% spend for the week. (64k NB spend target for the week; -1k/day),Richard,,,,,
4-Feb-2025,UK,NB,Budget and modifiers,"Updated targets to spend  $4,280/day to increase spend 716 daily WoW. Increased bids LW and campaigns struggled to hit spend, therefore some campaign targets were lowered this week (lowered cap can go to 1.2x and changed recency to increase spending)

",Andrew,,,,,
4-Feb-2025,FR,NB,Budget and modifiers,"Updated targets to spend  $7k/day to increase spend 1.5k daily WoW. Increased bids LW and campaigns struggled to hit spend, therefore some campaign targets were lowered this week.

",Andrew,,,,,
4-Feb-2025,ES,Generic,Budget and modifiers,800 target,Andrew,"$1,200.00 Target Spent 1.9k 2/3",,,,
4-Feb-2025,ES,AMZ,Budget and modifiers,500 target,Andrew,800 spent 1221/day LW,,,,
4-Feb-2025,ES,GA Top,Budget and modifiers,500 target,Andrew,$800.00 (spent ~$900/day LW),,,,
4-Feb-2025,UK,EU-UK-Bing-Brand,Budget and modifiers,"Increased Max to $150, Min to $40 and CPT 40. Change recency to 3 days to push spending",Andrew,$15 Min and $75 Max CPT 30,,,,
5-Feb-2025,ES,Brand Core Bing,Budget and modifiers,Increased shared budget from $50/day to $60/day,Andrew,"Budget Limited (not to go over  $6,500 in Feb)",,,,
5-Feb-2025,IT,Brand Core,Budget and modifiers,"Ad location changed from ""Top of results page"" to ""Anywhere on results page""",Richard,,,,,
6-Feb-2025,ES,Brand Core Bing,Budget and modifiers,Increase shared budget to $100/day,Yun,,,,,
10-Feb-2025,UK,NB,Budget and modifiers,Changed recency from 3 days to 7 days to slow spending,Andrew,Ie%CCP and spend increased WoW (58% > 63% ie%CCP WoW). Want to make the strategies more stable with flat spend in W7,,,,
10-Feb-2025,UK,EU-UK-Google-Generic,Budget and modifiers,"$1,000",Andrew,1300 (spent 1300/day LW),,,,
10-Feb-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,$300,Andrew,$700 spent 469/day LW,,,,
10-Feb-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$1,450",Andrew,1550 spent 1689/day LW,,,,
10-Feb-2025,UK,EU-UK-Google-GA,Budget and modifiers,,Andrew,,,,,
10-Feb-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,120 CPT,Andrew,140 CPT,,,,
10-Feb-2025,UK,EU-UK-Bing-NB,Budget and modifiers,,Andrew,,,,,
10-Feb-2025,,,,,,,,,,
11-Feb-2025,DE,EU-DE-Google-GA,Budget and modifiers,"Min: $1,000.00
Max: $1,600.00
CPT 300",Andrew,"Min: $1,000.00
Max: $2,000.00 (Spent 1.6k LW)",,,,
11-Feb-2025,DE,EU-DE-Google-AMZ,Budget and modifiers,"$300 CPT
Min: $2,500.00
Max: $4,000.00",Andrew,"Min: $2,500.00
Max: $4,500.00 CPT 350",,,,
11-Feb-2025,DE,EU-DE-Google-Product-Vertical,Budget and modifiers,"Min: $1,000.00
Max: $2,000.00
350 NEW CPT",Andrew,"Min: $1,500.00
Max: $2,500.00 (spent 15k previous 10 days)
380 CPT",,,,
11-Feb-2025,DE,EU-DE-Google-Generic,Budget and modifiers,"$8500 Max
$300 CPT",Andrew,10k Max,,,,
11-Feb-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"Min: $1,400.00
Max: $1800.00",Andrew,"Min: $1,400.00
Max: $2,500.00 (spent 20k prev 10 days)",,,,
11-Feb-2025,DE,EU-DE-Brand-Plus,Budget and modifiers,"Min: $3,500.00
Max: $5,000.00 New CPT $300",Andrew,"Min: $3,500.00
Max: $6,000.00 CPT $350 ($452 CPA previous 10 day, spent 25k)",,,,
10-Feb-2025,FR,EU-FR-Google-GA,Budget and modifiers,New CPT $110,Andrew,CPT Target $150 ($104 previous 10 days),,,,
10-Feb-2025,FR,EU-FR-Google-AMZ,Budget and modifiers,,Andrew,,,,,
10-Feb-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,New Max $400,Andrew,Max $800 (highest CPA past 10 days),,,,
10-Feb-2025,FR,EU-FR-Google-Generic,Budget and modifiers,"Min: $3,000.00
Max: $3,000.00
CPT $100",Andrew,"Min: $3,000.00
Max: $3,800.00 CPT $150",,,,
10-Feb-2025,FR,EU-FR-Google-GA_Top,Budget and modifiers,"Min: $850.00
Max: $1,000.00
CPT $100",Andrew,"Min: $1,150.00
Max: $1,800.00",,,,
10-Feb-2025,FR,EU-FR-Brand-Plus,Budget and modifiers,New CPT $110,Andrew,CPT Target $150 ($89.93 in past 10 day period),,,,
,,,,,,,,,,
10-Feb-2025,IT,EU-IT-Google-GA,Budget and modifiers,"Min: $150.00
Max: $500.00

$200 CPT New",Andrew,"Min: $250.00
Max: $800.00 (Highest CPA 10 days)",,,,
10-Feb-2025,IT,EU-IT-Google-AMZ,Budget and modifiers,"Min: $2000.00
Max: 2500.00
240.00 NEW CPT",Andrew,"Min: $2,500.00
Max: $3,500.00
250 CPT",,,,
10-Feb-2025,IT,EU-IT-Google-Product-Vertical,Budget and modifiers,"Min: $500.00
Max: $800.00
CPT 200",Andrew,"Min: $500.00
Max: $1,400.00
220.00 CPT ",,,,
,IT,EU-IT-Google-Generic,Budget and modifiers,"Min: $1,000.00
Max: $2,000.00
CPT 225",Andrew,"Min: $1,000.00
Max: $2,500.00
250 CPT",,,,
10-Feb-2025,IT,EU-IT-Google-GA_Top,Budget and modifiers,"Min: $1,000.00
Max: $1700.00
CPT 240",Andrew,"Min: $1700.00
Max: $3000.00 (Highest CPA W6)",,,,
10-Feb-2025,ES,EU-ES-Google-GA,Budget and modifiers,"Min: $200.00
Max: $400.00",Andrew,"Min: $300.00
Max: $600.00 (spent 4600 past 10 days w high CPA)",,,,
10-Feb-2025,ES,EU-ES-Google-Product-Vertical,Budget and modifiers,Max 200,Andrew,Max 400,,,,
14-Feb-2025,UK,NB Campaigns,RSA,Added RSAs to the active ad groups that are missing ads ,Yun,RW's campaign consolidation ,,,,
14-Feb-2025,EU5,Brand Core,Budget and modifiers,Changed to Abs Top of Page Brand Core With $30 Max CPC and 99% Target,Andrew,Previous IS Share Test unsuccessful ,,,,
18-Feb-2025,FR,Brand Core Google,Budget,Brand Core limited by budget soon. Increased daily spend from $1.5K>$2K,Yun,,,,,
17-Feb-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,200 New Daily,Andrew,300 daily high CPT,,,,
17-Feb-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$1,250.00 new daily",Andrew,"$1,550.00 Daily",,,,
17-Feb-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,NEW CPT 100.00,Andrew,120.00 CPT,,,,
17-Feb-2025,DE,EU-DE-Google-GA,Budget and modifiers,"Min: $500.00
 Max: $1000.00
 Changed Table to -80",Andrew,"Min: $1,000.00
 Max: $1,600.00 (high CPA past 10 days)",,,,
17-Feb-2025,DE,EU-DE-Google-AMZ,Budget and modifiers,"Min: $2,000.00
 Max: $3,000.00",Andrew,"Min: $2,500.00
 Max: $4,000.00",,,,
17-Feb-2025,DE,EU-DE-Google-Product-Vertical,Budget and modifiers,"Min: $800.00 NEW CPT 320
 Max: $1,200.00
 Changed Table to -80",Andrew,"Min: $1,500.00
 Max: $1,800.00 (high CPA past 10 days) 340 CPT",,,,
17-Feb-2025,DE,EU-DE-Google-Generic,Budget and modifiers,"Min: $5,000.00
 Max: $7,500.00",Andrew,"Min: $5,000.00
 Max: $8,500.00",,,,
17-Feb-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"Min: $800.00
 Max: $1,200.00
 Changed Table to -80",Andrew,"Min: $1,400.00
 Max: $1,800.00 (high CPA past 10 days)",,,,
17-Feb-2025,DE,EU-DE-EN-Google-Brand,,"Min: $500.00
 Max: $1200.00",,"Min: $500.00
 Max: $2,000.00 (high CPA past 10 days)",,,,
17-Feb-2025,DE,EU-DE-Brand-Plus,Budget and modifiers,"Min: $3,000.00
 Max: $4,000.00",Andrew,"Min: $3,500.00
 Max: $5,000.00 (high CPA past 10 days)",,,,
17-Feb-2025,FR,EU-FR-Google-AMZ,Budget and modifiers,"100 New CPT Min: $100.00
 Max: $200.00",Andrew,"120 CPT (highest past 10 days) Min: $200.00
 Max: $400.00",,,,
17-Feb-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"Min: $100.00
 Max: $300.00",Andrew,"Min: $200.00
 Max: $400.00 High CPT past 10",,,,
18-Feb-2025,FR,EU-FR-Google-Generic,Budget and modifiers,"Min: $1,500.00
 Max: $2,700.00",Andrew,"Min: $2,500.00
 Max: $3,000.00",,,,
18-Feb-2025,FR,EU-FR-Google-GA_Top,Budget and modifiers,"Min: $250.00
 Max: $800.00",Andrew,"Min: $850.00
 Max: $1,000.00",,,,
17-Feb-2025,FR,EU-FR-Brand-Plus,Budget and modifiers,"Min: $800.00
 Max: $1,200.00 (Spent 750/day past 10 days)",Andrew,"Min: $800.00
 Max: $1,500.00 (Spent 750/day past 10 days",,,,
17-Feb-2025,IT,EU-IT-Google-GA,Budget and modifiers,"$200.00
 Min: $150.00
 Max: $400.00",Andrew,"$200.00
 Min: $150.00
 Max: $500.00",,,,
18-Feb-2025,IT,EU-IT-Google-AMZ,Budget and modifiers,"$200.00
 Min: $500.00
 Max: $1,600.00",Andrew,"$240.00
 Min: $1,500.00
 Max: $2,500.00",,,,
17-Feb-2025,IT,EU-IT-Google-Product-Vertical,Budget and modifiers,180 CPT,Andrew,$200 CPT,,,,
18-Feb-2025,IT,EU-IT-Google-Generic,Budget and modifiers,"$200.00
 Min: $600.00
 Max: $1500.00",Andrew,"$225.00
 Min: $1,000.00
 Max: $2,500.00",,,,
17-Feb-2025,IT,EU-IT-Google-GA_Top,Budget and modifiers,"190.00 New CPT
 Min: $400.00
 Max: $800.00
 Brought Tabel to -80",Andrew,"Min: $1,000.00
 Max: $1,700.00 (Highest CPA Past 10)",,,,
17-Feb-2025,IT,EU-IT-Brand-Plus,Budget and modifiers,"$200.00
 Min: $1,000.00
 Max: $1,500.00",Andrew,"$250.00
 Min: $1,800.00
 Max: $2,500.00 (High CPA)",,,,
17-Feb-2025,ES,EU-ES-Google-Brand-Plus,Budget and modifiers,"$100.00
 Min: $200.00
 Max: $400.00",Andrew,"$120.00
 Min: $400.00
 Max: $800.00",,,,
17-Feb-2025,ES,EU-ES-Google-Generic,Budget and modifiers,900 new,Andrew,"$1,100.00 Daily",,,,
17-Feb-2025,ES,EU-ES-Google-AMZ,Budget and modifiers,$200.00 Daily,Andrew,$400.00 Daily (High CPA),,,,
17-Feb-2025,ES,EU-ES-Google-GA_Top,Budget and modifiers,250 new,Andrew,$450.00 Daily,,,,
17-Feb-2025,ES,EU-ES-Google-GA,Budget and modifiers,"$90.00
 Min: $100.00
 Max: $300.00",,"$90.00
 Min: $200.00
 Max: $400.00",,,,
17-Feb-2025,ES,EU-ES-Google-Product-Vertical,Budget and modifiers,"Min: $50.00
 Max: $100.00",Andrew,"Min: $100.00
 Max: $200.00 (High CPA past 10()",,,,
19-Feb-2025,ES,EU-ES-Bing-Brand,Budget and modifiers,"Max 30
Changed shared budget from $100 to $130",Andrew,Max 15,,,,
19-Feb-2025,UK,EU-UK-Bing-Brand,Budget and modifiers,"Min: $80.00
Max: $190.00",Andrew,"Min: $40.00
Max: $150.00",,,,
19-Feb-2025,ES,EU-ES-Bing-NB,Portfolio ,Changed to active due to no active campaigns,Andrew,One Brand campaign moved to Brand port,,,,
21-Feb-2025,IT,IT_Brand-Core,KW,Paused duplicates,Yun,,,,,
21-Feb-2025,IT,IT_GA_Brand-Core,HW,Paused duplicates,Andrew,,,,,
Week of 2/17,EU5 Google NB,Google NB ,Device,-100% for campigns with $5/day daily spend,Yun,,,,,
2/25/25,DE Google,DE-GA 2 - Brand,Device,"Adjustment in editor- Changed mobile bids from -50%>-60%, increased desktop bid from 0% to 5%",Yun,High mobile CPA based on 10/1/24-2/22/25 AMO data (Desktop $176 vs Mobile $327,,,,
24-Feb,UK,EU-UK-Google-Generic,Budget and modifiers,"$1,500",Andrew,$1000/day,,,,
24-Feb,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$1,750",Andrew,1250/day,,,,
24-Feb,DE,EU-DE-Google-GA,Budget and modifiers,"$300.00
Min: $500.00
Max: $1,500.00",Andrew,"$300.00
Min: $500.00
Max: $1,000.00",,,,
24-Feb,DE,EU-DE-Google-AMZ,Budget and modifiers,"$300.00
Min: $2,000.00
Max: $3,500.00",Andrew,"$300.00
Min: $2,000.00
Max: $3,000.00",,,,
24-Feb,DE,EU-DE-Google-Product-Vertical,Budget and modifiers,"$300.00
 Min: $800.00
 Max: $1,700.00",Andrew,"$320.00
Min: $800.00
Max: $1,200.00",,,,
24-Feb,DE,EU-DE-Google-Generic,Budget and modifiers,"$300.00
Min: $6,000.00
Max: $9,000.00",Andrew,"$300.00
Min: $5,000.00
Max: $7,500.00 Low CPA",,,,
24-Feb,DE,EU-DE-Brand-Plus,Budget and modifiers,"$300.00
 Min: $3,500.00
 Max: $4,700.00",,"$300.00
Min: $3,500.00
Max: $4,000.00",,,,
24-Feb,FR,EU-FR-Google-GA,Budget and modifiers,"100
Min: $100.00
Max: $300.00",Andrew,"CPT 110
Min: $100.00
Max: $200.00",,,,
24-Feb,FR,EU-FR-Google-AMZ,Budget and modifiers,"$100.00
Min: $200.00
Max: $600.00",Andrew,"$100.00
Min: $100.00
Max: $200.00",,,,
24-Feb,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"$90.00
Min: $400.00
Max: $800.00",Andrew,"$90.00
Min: $100.00
Max: $300.00",,,,
24-Feb,FR,EU-FR-Google-Generic,Budget and modifiers,"$100.00
Min: $1,500.00
Max: $3,600.00",Andrew,"$100.00
Min: $1,500.00
Max: $2,700.00",,,,
24-Feb,FR,EU-FR-Google-GA_Top,Budget and modifiers,"$100.00
Min: $500.00
Max: $1300.00",Andrew,"$100.00
Min: $250.00
Max: $800.00",,,,
24-Feb,FR,EU-FR-Brand-Plus,Budget and modifiers,"$100.00
Min: $800.00
Max: $1,300.00",Andrew,"$110.00
Min: $800.00
Max: $1,200.00",,,,
24-Feb,IT,EU-IT-Google-AMZ,Budget and modifiers,"	
$200.00
Min: $500.00
Max: $2300.00",Andrew,"	
$200.00
Min: $500.00
Max: $1,600.00",,,,
