Search Term,Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,CPC,Keyword Regs,Keyword CPA,Keyword Status
amazon business,[amazon business],Exact match,AU_Brand_Exact,Pure_Exact,3514,1356,719.49,0.53,87,9.45,Converting KW
amazon business account,[amazon business account],Exact match,AU_Brand_Exact,Account_Exact,643,213,200.93,0.94,44,4.57,Converting KW
amazon business australia,[amazon business australia],Exact match,AU_Brand_Exact,Pure_Exact,372,147,170.66,1.16,18,9.48,Converting KW
bulk toilet paper,[bulk toilet paper],Exact match,AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,116,14,71.02,5.07,3,30.72,Converting KW
bulk toilet paper,[bulk toilet paper],Exact match,AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,116,14,71.02,5.07,3,5.82,Converting KW
cleaning supplies,[cleaning products],Exact match (close variant),AU_Generic_P-V_Janitorial,Products_Exact,163,13,66.58,5.12,1,105.82,Converting KW
what is amazon business,[amazon business information],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,25,5,55.99,11.2,0,,Zero-Reg KW
amazon business account australia,[amazon business account australia],Exact match,AU_Brand_Exact,Account_Exact,87,29,47.55,1.64,6,7.93,Converting KW
cleaning supplies,[cleaning buy],Exact match (close variant),AU_Generic_P-V_Janitorial,Purchasing_Exact,94,8,46.39,5.8,1,79.23,Converting KW
amazon business login,[amazon business login],Exact match,AU_Brand_Exact,Navigation_Exact,233,79,43.32,0.55,4,10.83,Converting KW
bulk canned food,[bulk canned food],Exact match,AU_Generic_P-V_Food,Food_Bulk_Exact,24,6,41.75,6.96,0,,Zero-Reg KW
solubrilho australia,"""cleaning products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Products_Phrase,50,9,41.66,4.63,3,241.91,Converting KW
wholesale food,[wholesale meals],Exact match (close variant),AU_Generic_P-V_Food,Food_Wholesale_Exact,26,5,41.46,8.29,0,,Zero-Reg KW
bulk buying,[buy bulk],Exact match (close variant),AU_Generic,Bulk_Buy_Exact,11,4,41.23,10.31,0,,Zero-Reg KW
dropshipping suppliers,"""suppliers purchases""",Phrase match (close variant),AU_Generic,Suppliers_Products_Phrase,13,3,36.65,12.22,0,,Zero-Reg KW
merch by amazon australia,"""amazon au business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,8,3,35.71,11.9,2,123.77,Converting KW
amazon corporate services pty ltd,"""business amazon""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,17,3,35.62,11.87,15,93.84,Converting KW
how to get your business on amazon,[setup amazon business account],Exact match (close variant),AU_Brand_Exact,Account_Exact,3,2,35.46,17.73,2,48.23,Converting KW
amazon business discount,"""amazon business cost""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,7,3,35.31,11.77,0,,Zero-Reg KW
desk accessories,[office accessories],Exact match (close variant),AU_Generic_P-V_Office,Office_Exact,83,8,34.52,4.32,0,,Zero-Reg KW
amazon wholesale,"""business amazon""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,32,9,33.01,3.67,15,93.84,Converting KW
amazon for business,"""amazon for business""",Exact match,AU_Brand_Phrase,Pure_ Phrase,86,37,32.98,0.89,6,75.21,Converting KW
dropshipping suppliers australia,"""suppliers purchases""",Phrase match (close variant),AU_Generic,Suppliers_Products_Phrase,9,4,32.3,8.07,0,,Zero-Reg KW
bulk buy,[bulk suppliers],Exact match (close variant),AU_Generic,Bulk_Suppliers_Exact,41,6,30.24,5.04,0,,Zero-Reg KW
amazon business account cost,[amazon business account cost],Exact match,AU_Brand_Exact,Account_Exact,8,4,28.94,7.24,0,,Zero-Reg KW
what does an amazon business account cost,[business prime account cost],Exact match (close variant),AU_Brand_Exact,Prime_Exact,2,2,28.94,14.47,1,74.51,Converting KW
amazon business vs personal,[amazon business account vs personal],Exact match (close variant),AU_Brand_Exact,Account_Exact,7,2,27.78,13.89,1,49.12,Converting KW
salon towels,"""professional beauty products""",Phrase match (close variant),AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,30,4,27.54,6.89,8,113.14,Converting KW
amazon business discount,"""amazon prime business""",Phrase match (close variant),AU_Brand_Phrase,Prime_Phrase,6,2,27.5,13.75,3,89.74,Converting KW
amazon business offer,[amazon business benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,4,2,27.13,13.57,1,97.09,Converting KW
